2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status triggers-pending ufw:all 0.34~rc-0ubuntu2
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
2017-01-08 15:01:32 status unpacked apache2:amd64 2.4.7-1ubuntu4.13
